ProductID,ProductName,TotalQuantity,TotalRevenue,OrderCount,AverageOrderValue,AveragePrice,AverageDiscount,ReturnRate,CancellationRate,UniqueCustomers,UniqueCategories,UniqueBrands,RecentDemand,HistoricalAverageDemand,DemandVolatility,DemandGrowth,repeat_customers,repeat_customer_ratio,avg_customer_frequency_for_product
P00001,Wireless Earbuds,6008,1834207.58,2008,913.4499900398407,300.8321364541833,0.07756474103585657,0.03237051792828685,0.02838645418326693,1982,6,10,278,3.292054794520548,3.515421444946879,-0.06171401094836504,25,0.012613521695257316,1.0131180625630676
P00002,Bluetooth Speaker,5782,1803356.76,1913,942.6851855723994,310.94086774699423,0.07480397281756403,0.02195504443282802,0.028227914270778882,1880,6,10,338,3.168219178082192,3.4210516933797894,0.18538375802298313,32,0.01702127659574468,1.0175531914893616
P00003,Smartphone Case,6060,1875421.41,1989,942.8966365007541,307.1540774258421,0.07302664655605832,0.029663147310206132,0.02865761689291101,1955,6,10,289,3.3205479452054796,3.4815837112136094,-0.03295746241290798,34,0.017391304347826087,1.017391304347826
P00004,USB-C Charger,5811,1763075.26,1958,900.4470173646578,303.00051072522984,0.0806435137895812,0.031664964249233915,0.033707865168539325,1930,6,10,282,3.1841095890410958,3.3487149913432175,-0.015946767624619995,28,0.014507772020725389,1.0145077720207254
P00005,Laptop Sleeve,5992,1848297.8,1996,926.0009018036072,304.3441633266533,0.07091683366733467,0.029559118236472944,0.023046092184368736,1953,6,10,258,3.283287671232877,3.5169187160734046,-0.1268914107699155,43,0.022017409114183307,1.0220174091141834
P00006,Gaming Mouse,6170,1895103.98,2010,942.8378009950248,303.37016915422885,0.07333333333333333,0.03333333333333333,0.03781094527363184,1975,6,10,254,3.3808219178082193,3.4187249443518186,-0.1652260039618224,35,0.017721518987341773,1.0177215189873419
P00007,Mechanical Keyboard,6161,1906963.54,2034,937.5435299901671,306.59846116027535,0.07497541789577188,0.030973451327433628,0.032448377581120944,1991,6,10,328,3.3758904109589043,3.6110317068649027,0.07955057800862053,43,0.021597187343043698,1.0215971873430436
P00008,4K Monitor,6111,1866774.35,2006,930.5953888334996,298.1829461615155,0.07477567298105683,0.028414755732801594,0.038883349950149554,1976,6,10,354,3.3484931506849316,3.57411797150191,0.17465772104947352,30,0.015182186234817813,1.0151821862348178
P00009,Portable SSD 1TB,5996,1819377.38,2030,896.2450147783251,300.1725615763547,0.075,0.030049261083743842,0.02561576354679803,1986,6,10,275,3.2854794520547945,3.431205577276071,-0.06998183974501526,44,0.022155085599194362,1.0221550855991943
P00010,Smartwatch,5983,1901275.59,1989,955.8952187028658,312.7875263951735,0.07214680744092508,0.03418803418803419,0.026646556058320763,1946,6,10,247,3.2783561643835615,3.395252350620378,-0.1628595836351142,41,0.0210688591983556,1.0220966084275436
P00011,Fitness Band,5724,1784149.5,1943,918.2447246525991,306.20210499227994,0.0708955223880597,0.029336078229541946,0.02676273803396809,1908,6,10,320,3.1364383561643834,3.4323846987217568,0.13362838729715043,33,0.01729559748427673,1.0183438155136268
P00012,Noise Cancelling Headphones,6091,1881108.57,2031,926.198212703102,304.27543574593795,0.07747415066469719,0.0379123584441162,0.028557360905957656,1997,6,10,297,3.3375342465753426,3.4580885749450276,-0.011246100804465642,34,0.01702553830746119,1.0170255383074611
P00013,Action Camera,6104,1829029.24,2024,903.6705731225296,295.1035128458498,0.07371541501976285,0.029644268774703556,0.02766798418972332,1976,6,10,298,3.344657534246575,3.4191965182729085,-0.010029852919761217,48,0.024291497975708502,1.0242914979757085
P00014,Drone Mini,5975,1816203.39,2026,896.4478726554787,302.5145755182626,0.0743583415597236,0.030108588351431393,0.023692003948667325,1988,6,10,260,3.2739726027397262,3.483593572287179,-0.11761971176197128,38,0.019114688128772636,1.0191146881287727
P00015,Instant Pot,6016,1838639.12,2016,912.0233730158731,303.74130456349206,0.07234623015873015,0.030753968253968252,0.024305555555555556,1975,6,10,257,3.2964383561643835,3.4412859414099204,-0.13374519799054374,40,0.020253164556962026,1.0207594936708861
P00016,Air Fryer,5956,1789927.34,2007,891.8422222222223,300.67906826108623,0.07665670154459392,0.028898854010961636,0.03188839063278525,1959,6,10,283,3.2635616438356165,3.4857343082036043,-0.036499141855085515,48,0.02450229709035222,1.0245022970903521
P00017,Electric Kettle,6165,1905751.79,2054,927.8246299902629,304.3522005842259,0.07215189873417722,0.02629016553067186,0.034079844206426485,2020,6,10,290,3.378082191780822,3.574636781302518,-0.04613859601694148,34,0.016831683168316833,1.0168316831683168
P00018,Vacuum Cleaner,6139,1855117.83,2017,919.7411155180962,299.0538820029747,0.07332672285572633,0.026772434308378782,0.03371343579573624,1973,6,10,316,3.3638356164383563,3.5281149257221744,0.04378201299523976,44,0.022301064368981247,1.0223010643689812
